Rank,PlayerID,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
65,16903,MyCole Pruitt,TEN,TE,11,8,5,62.5,49,2,22,6.1,9.8,0,0,0,0,0,0,1.5,16.9
66,20742,J.J. Arcega-Whiteside,PHI,TE,8,8,4,50,85,0,37,10.6,21.2,0,0,0,1,0,0,2.1,16.5
67,16816,Maxx Williams,ARI,TE,9,10,8,80,102,1,42,10.2,12.8,0,0,0,0,0,0,1.8,16.2
68,12777,Lee Smith,BUF,TE,10,6,4,66.7,35,2,27,5.8,8.8,0,0,0,0,0,0,1.6,15.5
68,18019,Nick Vannett,DEN,TE,15,21,14,66.7,95,1,19,4.5,6.8,0,0,0,0,0,0,1,15.5
70,19176,Darrell Daniels,ARI,TE,12,11,8,72.7,92,1,31,8.4,11.5,0,0,0,0,0,0,1.3,15.2
71,16917,C.J. Uzomah,CIN,TE,2,11,8,72.7,87,1,23,7.9,10.9,0,0,0,0,0,0,7.4,14.7
72,17005,Geoff Swaim,TEN,TE,10,12,9,75,83,1,16,6.9,9.2,0,0,0,0,0,0,1.4,14.3
73,19973,Troy Fumagalli,DEN,TE,8,15,8,53.3,80,1,29,5.3,10,0,0,0,0,0,0,1.8,14
74,16878,Blake Bell,DAL,TE,16,15,11,73.3,110,0,24,7.3,10,1,2,2,0,0,0,0.7,11.2
74,20946,Kaden Smith,NYG,TE,15,21,18,85.7,112,0,16,5.3,6.2,0,0,0,0,1,0,0.7,11.2
76,13016,Virgil Green,LAC,TE,6,6,3,50,50,1,26,8.3,16.7,0,0,0,0,0,0,1.8,11
77,18262,Stephen Anderson,LAC,TE,16,11,8,72.7,106,0,23,9.6,13.2,0,0,0,0,0,0,0.7,10.6
77,15866,Josh Hill,NO,TE,14,10,8,80,46,1,16,4.6,5.8,0,0,0,0,1,0,0.8,10.6
79,21771,Devin Asiasi,NE,TE,9,7,2,28.6,39,1,26,5.6,19.5,0,0,0,0,0,0,1.1,9.9
79,15239,Vance McDonald,PIT,TE,14,20,15,75,99,0,15,5,6.6,0,0,0,0,0,0,0.7,9.9
81,14985,Ryan Griffin,NYJ,TE,15,12,9,75,86,0,23,7.2,9.6,0,0,0,0,0,0,0.6,8.6
81,22477,Dominique Dafney,GB,TE,5,2,2,100,26,1,13,13,13,0,0,0,0,0,0,1.7,8.6
83,19542,Colin Thompson,CAR,TE,15,2,1,50,7,1,7,3.5,7,0,0,0,0,0,0,0.4,6.7
84,13370,Luke Stocker,ATL,TE,16,11,7,63.6,63,0,25,5.7,9,0,0,0,0,0,0,0.4,6.3
84,20020,Jordan Thomas,NE,TE,6,2,1,50,3,1,3,1.5,3,0,0,0,0,0,0,1,6.3
84,19415,Jason Croom,PHI,TE,4,1,1,100,3,1,3,3,3,0,0,0,0,0,0,1.6,6.3
87,19219,Cethan Carter,CIN,TE,15,7,5,71.4,53,0,24,7.6,10.6,0,0,0,0,0,0,0.4,5.3
87,19165,Johnny Mundt,LAR,TE,16,4,4,100,53,0,34,13.2,13.2,0,0,0,0,0,0,0.3,5.3
89,17762,Chris Manhertz,CAR,TE,16,8,6,75,52,0,17,6.5,8.7,0,0,0,0,0,0,0.3,5.2
90,15378,Levine Toilolo,NYG,TE,16,6,5,83.3,46,0,14,7.7,9.2,0,0,0,0,0,0,0.3,4.6
91,15305,Demetrius Harris,CHI,TE,15,14,7,50,45,0,9,3.2,6.4,0,0,0,0,0,0,0.3,4.5
92,21683,Hunter Bryant,DET,TE,5,3,1,33.3,44,0,44,14.7,44,0,0,0,0,0,0,0.9,4.4
93,20563,Nick Keizer,KC,TE,16,9,6,66.7,63,0,22,7,10.5,0,0,0,0,1,1,0.3,4.3
94,20506,Tanner Hudson,TB,TE,11,7,3,42.9,41,0,20,5.9,13.7,0,0,0,0,0,0,0.4,4.1
95,21738,Juwan Johnson,NO,TE,7,10,4,40,39,0,19,3.9,9.8,0,0,0,0,0,0,0.6,3.9
