Rank,PlayerID,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
160,21240,Damarea Crockett,DEN,RB,12,3,7,2.3,0,0,0,0,0,0,0,0.1,0.7
161,22678,Jake Funk,LAR,RB,10,2,5,2.5,0,0,0,0,0,0,0,0,0.5
162,12787,Nick Bellore,SEA,FB,17,0,0,0,0,1,1,4,0,0,0,0,0.4
162,20904,Devine Ozigbo,NE,RB,3,1,-3,-3,0,1,1,7,0,0,0,0.1,0.4
164,22441,Nathan Cottrell,JAX,RB,4,1,3,3,0,0,0,0,0,0,0,0.1,0.3
165,13063,Taiwan Jones,BUF,RB,17,0,0,0,0,0,0,0,0,0,0,0,0
165,19979,Jordan Wilkins,TEN,RB,5,0,0,0,0,0,0,0,0,0,0,0,0
165,20075,Josh Adams,NYJ,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
165,21732,Giovanni Ricci,CAR,FB,16,0,0,0,0,2,0,0,0,0,0,0,0
165,21126,Cullen Gillaspia,NYG,FB,15,0,0,0,0,0,0,0,0,0,0,0,0
165,22736,Tory Carter,TEN,FB,8,0,0,0,0,0,0,0,0,0,0,0,0
165,19822,Kerryon Johnson,SF,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
165,23002,Nick Ralston,DAL,FB,4,0,0,0,0,0,0,0,0,0,0,0,0
165,21848,Artavis Pierce,CHI,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
165,21825,Spencer Brown,CAR,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
165,19033,Brian Hill,SF,RB,3,0,0,0,0,0,0,0,0,0,0,0,0
165,21850,Tavien Feaster,ARI,RB,3,0,0,0,0,0,0,0,0,0,0,0,0
165,22346,Jake Bargas,MIN,FB,1,0,0,0,0,0,0,0,0,0,0,0,0
165,20948,Sutton Smith,LV,FB,8,0,0,0,0,0,0,0,0,0,0,0,0
165,21826,Darius Bradwell,LAC,RB,2,0,0,0,0,1,0,0,0,0,0,0,0
165,22652,Josh Johnson,SEA,RB,3,0,0,0,0,0,0,0,0,0,0,0,0
165,22544,Pooka Williams Jr.,CIN,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
165,15185,Kenjon Barner,TB,RB,3,4,0,0,0,0,0,0,0,0,0,0,0
165,19599,Trey Edmunds,PIT,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
165,20935,Jordan Scarlett,MIA,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
185,23052,Nate McCrary,BAL,RB,1,1,-1,-1,0,0,0,0,0,0,0,-0.1,-0.1
186,21310,Khari Blasingame,TEN,RB,11,3,6,2,0,2,2,4,0,1,1,-0.1,-1
187,20040,Trenton Cannon,SF,RB,12,3,4,1.3,0,0,0,0,0,1,1,-0.1,-1.6
