Rank,PlayerPlayerId,PlayerShortName,PlayerAgeExact,Carries,RushingYards,YardsPerCarry,RushingTouchdowns,Targets,Receptions,ReceivingYards,ReceivingTDs,SnapShare,OpportunityShare,ShotgunCarryRate,ShotgunYardsPerCarry,UnderCenterCarryRate,UnderCenterYardsPerCarry,AverageDefendersInTheBox,StackedFrontCarryRate,BaseFrontCarryRate,LightFrontCarryRate
123,20159,M. Boone,27,11,47,4.3,0,3,2,1,0,8.1,10.2,54.5,3.7,45.5,5,6.64,9.1,54.5,36.4
124,18993,S. Perine,26.8,8,32,4,0,4,3,5,0,13.5,12.4,62.5,4.2,37.5,3.7,5.62,0,37.5,62.5
125,18041,T. Ervin,28.7,0,0,null,0,4,3,35,0,13.4,1.6,null,null,null,null,null,null,null,null
126,20472,S. Wilson,26.6,6,29,4.8,0,5,3,5,0,6.4,9.5,83.3,5.4,16.7,2,6.33,16.7,16.7,66.7
127,18339,T. Madden,28.9,3,3,1,0,3,2,35,0,10.9,3.6,0,null,100,1.3,9,100,0,0
128,12787,N. Bellore,33.2,1,0,0,0,4,4,15,0,13.3,3.4,0,null,100,0,6,0,0,100
129,17965,C. Prosise,28.1,1,-3,-3,0,3,3,22,0,16.9,7.1,100,-3,0,null,7,0,100,0
130,14872,M. Gillislee,31.7,16,43,2.7,0,1,1,9,0,9.7,12.9,0,null,100,2.7,7.44,43.8,43.8,12.5
131,16112,J. Hill,29.7,4,25,6.2,0,1,1,6,0,15.7,11.4,0,null,100,6.2,7.25,25,75,0
132,19206,R. Ortiz,28.2,0,0,null,0,4,3,11,0,25.3,5.8,null,null,null,null,null,null,null,null
133,20562,D. Turner,26.9,1,4,4,0,2,2,17,0,5.2,5.1,0,null,100,4,8,100,0,0
134,15631,D. Coleman,31.7,2,3,1.5,0,3,2,17,0,10.2,4,0,null,100,1.5,8.5,100,0,0
135,15207,B. Cunningham,32,11,20,1.8,0,2,1,9,0,4.8,4.9,36.4,2.8,54.5,1.7,6.64,27.3,45.5,18.2
136,16815,A. Abdullah,29.1,1,1,1,0,4,3,28,0,2.9,2.1,0,null,100,1,8,100,0,0
137,20016,D. Williams,28.1,8,36,4.5,0,0,0,0,0,10.6,12.5,50,4.2,50,4.8,6.75,25,25,50
138,7969,J. Charles,35.5,6,7,1.2,0,3,2,7,0,17.6,20.9,50,2,50,0.3,6.5,0,50,50
139,14789,J. Olawale,33.2,0,0,null,0,4,2,13,0,11,2.7,null,null,null,null,null,null,null,null
140,14352,T. Cadet,33.4,11,17,1.5,0,1,1,5,0,26.9,32.4,27.3,2,72.7,1.4,5.91,18.2,18.2,54.5
141,16867,J. Langford,30.6,9,25,2.8,0,0,0,0,0,18.7,33.3,22.2,1.5,77.8,3.1,7.11,22.2,66.7,11.1
142,18115,D. Watt,29.7,4,11,2.8,0,1,1,2,0,20.2,3.9,0,null,100,2.8,7.5,50,50,0
143,19529,J. Davis,26.7,2,19,9.5,0,0,0,0,0,2.5,2.4,0,null,100,9.5,5,0,50,50
144,5451,J. Stewart,35.3,6,17,2.8,0,0,0,0,0,7.9,6.6,66.7,2.2,33.3,4,6.67,16.7,33.3,50
145,15966,D. Fluellen,30.4,4,16,4,0,0,0,0,0,4.8,5.7,25,2,75,4.7,6.75,25,25,50
146,16928,M. Burton,30.4,0,0,null,0,1,1,6,0,1.6,3.3,null,null,null,null,null,null,null,null
