,index,rank,playerplayerid,playershortname,receptions,receivingyards,snapshare,averagetargetdistance,airyards,airyardspergame,airyardsperreception,redzonetargets,endzonetargets,targetaccuracy,targetshare,fantasypointspertarget,year,position,name,team,played,receivingtargets,receptionpercentage,receivingtouchdowns,receivinglong,receivingyardspertarget,receivingyardsperreception,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,fumbles,fumbleslost,fantasypointspergame,fantasypoints
226,226,45,18992,D. Westbrook,66,660,74.3,6.81,688.0,45.9,10.4,11,6,7.28,19.4,1.51,2019,WR,Dede Westbrook,JAX,15,101,65.3,3,39,6.5,10.0,5,27,5.4,0,1,0,6.0,90.7
227,227,53,19865,J. Washington,44,735,68.6,14.86,1174.0,78.3,26.7,2,3,6.3,16.9,1.69,2019,WR,James Washington,PIT,15,80,55.0,3,79,9.2,16.7,0,0,0.0,0,1,1,6.0,89.5
228,228,51,16003,S. Watkins,52,673,83.7,10.04,904.0,69.5,17.4,6,6,6.83,19.7,1.52,2019,WR,Sammy Watkins,KC,14,90,57.8,3,68,7.5,12.9,2,12,6.0,0,2,1,6.2,86.5
229,229,52,17916,W. Fuller V,49,670,82.8,14.77,1049.0,95.4,21.4,7,5,7.29,20.7,1.89,2019,WR,William Fuller V,HOU,11,71,69.0,3,54,9.4,13.7,0,0,0.0,0,1,0,7.7,85.0
230,230,49,17961,S. Shepard,57,576,92.5,9.35,795.0,79.5,13.9,12,5,7.18,23.4,1.64,2019,WR,Sterling Shepard,NYG,10,83,68.7,3,36,6.9,10.1,6,72,12.0,0,0,0,8.5,84.8
231,231,54,20924,H. Renfrow,49,605,54.2,6.83,485.0,37.3,9.9,12,5,7.39,17.6,1.88,2019,WR,Hunter Renfrow,LV,13,71,69.0,4,65,8.5,12.3,0,0,0.0,0,1,0,6.5,84.5
232,232,57,14005,T. Hilton,45,501,73.9,10.32,712.0,71.2,15.8,8,4,6.99,24.6,1.81,2019,WR,T.Y. Hilton,IND,10,68,66.2,5,35,7.4,11.1,0,0,0.0,0,0,0,8.0,80.1
233,233,60,15196,K. Stills,40,561,73.2,11.24,618.0,47.5,15.4,4,4,7.55,13.4,2.18,2019,WR,Kenny Stills,HOU,13,55,72.7,4,45,10.2,14.0,0,0,0.0,0,0,0,6.2,80.1
234,234,59,14187,A. Jeffery,43,490,79.2,11.78,848.5,94.3,19.7,10,6,7.64,22.6,1.7,2019,WR,Alshon Jeffery,PHI,10,73,58.9,4,38,6.7,11.4,1,2,2.0,1,0,0,7.9,79.2
235,235,48,9906,D. Amendola,62,678,66.4,8.62,828.0,55.2,13.4,9,2,7.14,18.5,1.46,2019,WR,Danny Amendola,DET,15,96,64.6,1,47,7.1,10.9,0,0,0.0,0,0,0,5.2,78.56
236,236,56,19864,A. Miller,52,656,66.5,10.47,890.0,55.6,17.1,10,6,6.59,15.0,1.5,2019,WR,Anthony Miller,CHI,16,85,61.2,2,35,7.7,12.6,1,-1,-1.0,0,1,1,4.7,75.5
237,237,61,16568,B. Cooks,42,583,72.2,14.14,1018.0,72.7,24.2,5,4,6.6,12.9,1.63,2019,WR,Brandin Cooks,LAR,14,72,58.3,2,57,8.1,13.9,6,52,8.7,0,0,0,5.4,75.5
238,238,62,18879,C. Davis,43,601,80.9,12.54,865.0,57.7,20.1,3,3,6.85,16.8,1.67,2019,WR,Corey Davis,TEN,15,69,62.3,2,38,8.7,14.0,0,0,0.0,0,1,0,4.8,72.1
239,239,63,18883,J. Smith-Schuster,42,552,79.0,9.72,700.0,58.3,16.7,8,5,6.74,18.3,1.57,2019,WR,JuJu Smith-Schuster,PIT,12,71,59.2,3,76,7.8,13.1,0,0,0.0,0,1,1,5.9,71.2
240,240,64,21400,S. Sims,34,310,36.8,7.23,405.0,27.0,11.9,9,7,7.14,13.3,1.85,2019,WR,Steven Sims,WAS,16,56,60.7,4,65,5.5,9.1,9,85,9.4,1,1,0,4.3,69.5
241,241,67,18047,D. Robinson,32,449,70.5,13.09,720.0,48.0,22.5,6,4,6.68,10.4,1.83,2019,WR,Demarcus Robinson,KC,16,55,58.2,4,44,8.2,14.0,0,0,0.0,0,0,0,4.3,68.9
242,242,65,20145,A. Lazard,35,477,61.0,14.6,759.0,69.0,21.7,4,5,7.5,13.7,1.98,2019,WR,Allen Lazard,GB,12,52,67.3,3,43,9.2,13.6,1,21,21.0,0,0,0,5.6,67.8
243,243,58,13878,M. Sanu Sr.,59,520,74.2,7.45,663.0,44.2,11.2,11,4,6.8,15.6,1.39,2019,WR,Mohamed Sanu Sr.,NE,15,89,66.3,2,28,5.8,8.8,3,11,3.7,0,0,0,4.3,65.1
244,244,70,16141,W. Snead IV,31,339,60.8,9.13,411.0,25.7,13.3,7,2,7.67,10.6,2.11,2019,WR,Willie Snead IV,BAL,16,45,68.9,5,50,7.5,10.9,2,2,1.0,0,0,0,4.0,64.1
245,245,66,20057,A. Tate,40,575,84.7,12.35,1000.0,83.3,25.0,14,7,6.23,18.8,1.25,2019,WR,Auden Tate,CIN,12,80,50.0,1,33,7.2,14.4,0,0,0.0,0,1,1,5.1,61.5
246,246,72,20988,P. Williams,32,428,84.6,14.88,893.0,111.6,27.9,10,9,6.75,21.4,1.51,2019,WR,Preston Williams,MIA,8,60,53.3,3,35,7.1,13.4,0,0,0.0,0,2,1,7.4,58.8
247,247,71,16781,N. Agholor,39,363,91.3,11.57,810.0,73.6,20.8,7,8,7.43,18.0,1.31,2019,WR,Nelson Agholor,PHI,11,69,56.5,3,43,5.3,9.3,2,7,3.5,0,2,1,5.0,55.0
248,248,69,18197,A. Erickson,43,529,58.2,8.47,661.0,41.3,15.4,10,4,6.7,13.2,1.23,2019,WR,Alex Erickson,CIN,16,78,55.1,0,52,6.8,12.3,5,33,6.6,0,4,2,3.3,53.24
249,249,76,16253,A. Hurns,32,416,57.6,11.46,550.0,39.3,17.2,6,3,7.86,8.9,1.74,2019,WR,Allen Hurns,MIA,14,48,66.7,2,27,8.7,13.0,0,0,0.0,0,1,1,3.7,51.6
250,250,68,20006,R. Gage,49,446,50.0,7.54,558.0,39.9,11.4,14,3,7.33,12.9,1.34,2019,WR,Russell Gage,ATL,16,74,66.2,1,19,6.0,9.1,4,12,3.0,0,1,1,3.1,49.8
251,251,74,17290,A. Humphries,37,374,52.7,7.83,368.0,30.7,9.9,4,2,7.55,14.6,1.84,2019,WR,Adam Humphries,TEN,12,47,78.7,2,30,8.0,10.1,1,1,1.0,0,1,0,4.1,49.5
252,252,75,11197,D. Thomas,36,433,68.9,9.86,582.0,52.9,16.2,7,2,6.95,17.2,1.45,2019,WR,Demaryius Thomas,NYJ,11,58,62.1,1,47,7.5,12.0,0,0,0.0,0,0,0,4.5,49.3
253,253,77,20836,B. Johnson,31,294,63.3,11.47,516.0,39.7,16.6,7,5,7.06,11.7,1.76,2019,WR,Bisi Johnson,MIN,16,45,68.9,3,23,6.5,9.5,1,6,6.0,0,0,0,3.0,48.0
254,254,73,16308,A. Wilson,43,351,51.9,5.21,323.0,24.8,7.5,6,1,7.3,12.4,1.44,2019,WR,Albert Wilson,MIA,13,62,69.4,1,35,5.7,8.2,5,45,9.0,0,0,0,3.6,46.4
255,255,78,18269,G. Allison,34,287,60.6,7.29,408.0,27.2,12.0,10,8,7.54,10.8,1.31,2019,WR,Geronimo Allison,GB,16,55,61.8,2,31,5.2,8.4,1,7,7.0,0,2,1,2.6,41.4
256,256,79,17141,D. Byrd,32,359,68.6,10.22,470.0,42.7,14.7,3,0,7.55,12.5,1.56,2019,WR,Damiere Byrd,ARI,11,46,69.6,1,58,7.8,11.2,0,0,0.0,0,1,1,3.6,39.9
257,257,2,18082,T. Hill,87,1479,89.2,15.26,2091.0,130.7,24.0,16,11,7.14,24.3,2.39,2018,WR,Tyreek Hill,KC,16,137,63.5,12,75,10.8,17.0,22,151,6.9,1,0,0,15.1,241.0
258,258,5,11056,A. Brown,104,1297,97.2,11.86,2005.0,133.7,19.3,24,20,7.31,26.7,1.92,2018,WR,Antonio Brown,PIT,15,168,61.9,15,78,7.7,12.5,0,0,0.0,0,0,0,14.6,219.7
259,259,3,16470,D. Adams,111,1386,98.6,11.72,1980.0,132.0,17.8,31,14,6.88,29.1,1.94,2018,WR,Davante Adams,GB,15,169,65.7,13,57,8.2,12.5,0,0,0.0,0,0,0,14.6,218.6
260,260,1,14986,D. Hopkins,115,1572,100.0,12.32,2008.0,125.5,17.5,25,20,6.75,32.9,2.05,2018,WR,DeAndre Hopkins,HOU,16,163,70.6,11,49,9.6,13.7,1,-7,-7.0,0,2,2,13.7,218.5
261,261,4,13291,J. Jones,113,1677,82.7,14.22,2417.0,151.1,21.4,17,10,7.22,28.1,1.92,2018,WR,Julio Jones,ATL,16,170,66.5,8,58,9.9,14.8,2,12,6.0,0,2,2,13.3,212.9
262,262,9,16597,M. Evans,86,1524,90.9,15.94,2216.0,138.5,25.8,14,16,6.73,22.4,2.09,2018,WR,Mike Evans,TB,16,139,61.9,8,72,11.0,17.7,0,0,0.0,1,2,1,12.8,204.4
263,263,7,15534,A. Thielen,113,1373,100.0,10.02,1553.0,97.1,13.7,20,11,7.73,26.2,1.97,2018,WR,Adam Thielen,MIN,16,155,72.9,9,68,8.9,12.2,5,30,6.0,0,1,1,12.1,194.3
264,264,6,17960,M. Thomas,125,1405,90.7,7.99,1175.0,73.4,9.4,29,6,8.2,28.8,2.15,2018,WR,Michael Thomas,NO,16,147,85.0,9,72,9.6,11.2,0,0,0.0,0,2,2,11.9,190.5
265,265,8,18883,J. Smith-Schuster,111,1426,88.4,9.26,1537.0,96.1,13.8,29,9,7.36,24.5,1.78,2018,WR,JuJu Smith-Schuster,PIT,16,166,66.9,7,97,8.6,12.8,1,13,13.0,0,1,1,11.6,185.9
266,266,10,14871,R. Woods,86,1219,96.3,11.6,1520.0,95.0,17.7,12,9,7.27,24.0,2.03,2018,WR,Robert Woods,LAR,16,130,66.2,6,39,9.4,14.2,19,157,8.3,1,0,0,11.2,179.6
267,267,17,16830,T. Lockett,57,965,89.6,13.83,982.0,61.4,17.2,6,7,7.82,17.7,3.1,2018,WR,Tyler Lockett,SEA,16,71,80.3,10,52,13.6,16.9,13,69,5.3,0,2,0,10.3,165.4
268,268,11,16906,S. Diggs,102,1021,94.3,9.28,1373.0,91.5,13.5,18,12,7.13,26.0,1.79,2018,WR,Stefon Diggs,MIN,15,150,68.0,9,75,6.8,10.0,10,62,6.2,0,0,0,11.0,164.3
269,269,13,16568,B. Cooks,80,1204,95.8,13.0,1508.0,100.5,18.8,17,6,7.61,22.6,2.1,2018,WR,Brandin Cooks,LAR,16,117,68.4,5,57,10.3,15.0,10,68,6.8,1,1,0,10.2,163.2
270,270,12,15076,K. Allen,97,1196,87.9,9.14,1252.0,83.5,12.9,15,7,7.76,29.2,1.88,2018,WR,Keenan Allen,LAC,16,136,71.3,6,54,8.8,12.3,9,75,8.3,0,3,1,10.2,163.1
271,271,14,14005,T. Hilton,76,1270,79.8,11.51,1381.0,98.6,18.2,17,5,7.42,22.6,1.99,2018,WR,T.Y. Hilton,IND,14,120,63.3,6,68,10.6,16.7,0,0,0.0,0,0,0,11.6,163.0
272,272,15,16389,O. Beckham Jr.,77,1052,100.0,12.17,1509.0,125.8,19.6,20,18,6.47,28.5,1.86,2018,WR,Odell Beckham Jr.,NYG,12,124,62.1,6,51,8.5,13.7,5,19,3.8,0,2,1,12.8,153.34
273,273,16,17986,T. Boyd,76,1028,89.2,9.87,1066.0,76.1,14.0,10,4,7.04,22.1,2.05,2018,WR,Tyler Boyd,CIN,14,108,70.4,7,49,9.5,13.5,2,3,1.5,0,0,0,10.4,145.1
274,274,22,19802,C. Ridley,64,821,65.0,10.14,933.0,58.3,14.6,9,6,7.34,15.2,2.25,2018,WR,Calvin Ridley,ATL,16,92,69.6,10,75,8.9,12.8,6,27,4.5,0,2,1,8.9,142.8
275,275,18,16765,A. Cooper,75,1005,84.4,10.29,1111.0,74.1,14.8,13,9,7.22,20.0,2.0,2018,WR,Amari Cooper,DAL,15,107,70.1,7,90,9.4,13.4,2,20,10.0,0,2,2,9.4,140.4
276,276,32,18914,M. Williams,43,664,63.9,15.38,1015.0,63.4,23.6,14,12,7.5,13.0,2.7,2018,WR,Mike Williams,LAC,16,66,65.2,10,55,10.1,15.4,7,28,4.0,1,0,0,8.6,137.2
277,277,21,18977,K. Golladay,70,1063,91.6,12.37,1460.0,97.3,20.9,15,12,6.97,22.3,1.76,2018,WR,Kenny Golladay,DET,15,119,58.8,5,60,8.9,15.2,1,8,8.0,0,1,0,9.1,137.1
278,278,19,16020,J. Landry,81,976,92.2,11.17,1653.0,103.3,20.4,19,9,6.22,26.4,1.45,2018,WR,Jarvis Landry,CLE,16,149,54.4,4,51,6.6,12.0,3,60,20.0,1,1,1,8.5,136.12
279,279,20,8355,J. Edelman,74,850,88.4,8.28,894.0,74.5,12.1,20,4,7.31,25.7,1.92,2018,WR,Julian Edelman,NE,12,108,68.5,6,36,7.9,11.5,9,107,11.9,0,1,0,11.1,133.42
280,280,23,11063,E. Sanders,71,868,88.2,9.95,975.0,81.2,13.7,11,4,7.73,24.6,2.02,2018,WR,Emmanuel Sanders,DEN,12,98,72.4,4,64,8.9,12.2,4,53,13.2,1,1,0,10.6,127.22
281,281,28,18880,C. Godwin,59,842,67.7,12.34,1172.0,73.2,19.9,16,14,6.76,15.3,1.93,2018,WR,Chris Godwin,TB,16,95,62.1,7,48,8.9,14.3,0,0,0.0,0,4,1,7.9,126.2
282,282,25,14187,A. Jeffery,65,843,85.8,11.11,1022.0,78.6,15.7,14,9,7.45,19.5,2.01,2018,WR,Alshon Jeffery,PHI,13,92,70.7,6,52,9.2,13.0,0,0,0.0,0,1,0,9.3,120.3
283,283,27,18879,C. Davis,65,891,94.5,10.89,1220.0,76.2,18.8,15,9,6.83,26.4,1.64,2018,WR,Corey Davis,TEN,16,112,58.0,4,51,8.0,13.7,6,55,9.2,0,1,0,7.4,118.6
284,284,26,5571,L. Fitzgerald,69,734,97.8,9.5,1064.0,66.5,15.4,14,10,6.47,23.6,1.64,2018,WR,Larry Fitzgerald,ARI,16,112,61.6,6,37,6.6,10.6,0,0,0.0,0,0,0,7.3,116.68
285,285,30,17961,S. Shepard,66,872,96.1,11.12,1190.0,74.4,18.0,19,12,7.08,18.6,1.69,2018,WR,Sterling Shepard,NYG,16,107,61.7,4,58,8.1,13.2,3,33,11.0,0,1,0,7.3,116.5
286,286,31,13878,M. Sanu Sr.,66,838,81.9,8.57,806.0,50.4,12.2,6,2,7.39,15.6,1.92,2018,WR,Mohamed Sanu Sr.,ATL,16,94,70.2,4,44,8.9,12.7,7,44,6.3,0,2,1,7.3,116.4
287,287,24,17290,A. Humphries,76,816,72.7,6.3,655.0,40.9,8.6,14,3,7.55,16.8,1.81,2018,WR,Adam Humphries,TB,16,105,72.4,5,51,7.8,10.7,2,11,5.5,0,2,0,7.0,112.7
288,288,42,3943,D. Jackson,41,774,54.5,18.87,1415.0,117.9,34.5,5,6,6.4,15.2,2.02,2018,WR,DeSean Jackson,TB,12,74,55.4,4,75,10.5,18.9,6,29,4.8,1,0,0,9.2,110.3
289,289,35,18926,Z. Jones,56,652,91.8,12.43,1268.0,79.2,22.6,17,10,6.4,21.2,1.6,2018,WR,Zay Jones,BUF,16,102,54.9,7,57,6.4,11.6,1,0,0.0,0,1,0,6.8,109.2
290,290,29,11611,G. Tate,74,795,65.7,6.67,754.0,50.3,10.2,12,2,7.59,20.9,1.6,2018,WR,Golden Tate,PHI,15,113,65.5,4,67,7.0,10.7,4,34,8.5,0,2,0,7.3,108.9
291,291,33,18992,D. Westbrook,66,717,81.0,8.69,878.0,54.9,13.3,13,6,6.56,19.2,1.72,2018,WR,Dede Westbrook,JAX,16,101,65.3,5,61,7.1,10.9,9,98,10.9,0,3,2,6.7,107.5
292,292,38,18187,R. Anderson,50,752,80.1,16.44,1529.0,109.2,30.6,9,11,6.26,20.8,1.68,2018,WR,Robby Anderson,NYJ,14,93,53.8,6,76,8.1,15.0,2,-8,-4.0,0,2,2,7.6,106.4
293,293,44,12845,A. Green,46,694,82.7,13.57,1045.0,116.1,22.7,14,13,7.05,23.5,1.94,2018,WR,A.J. Green,CIN,9,77,59.7,6,38,9.0,15.1,0,0,0.0,0,2,1,11.5,103.4
294,294,36,19844,D. Moore,55,788,69.5,9.12,748.0,46.8,13.6,8,4,7.13,15.1,1.91,2018,WR,DJ Moore,CAR,16,82,67.1,2,82,9.6,14.3,13,172,13.2,0,4,3,6.4,102.0
295,295,45,16640,J. Brown,42,715,65.9,17.1,1659.0,103.7,39.5,15,13,6.29,18.0,1.48,2018,WR,John Brown,BAL,16,97,43.3,5,71,7.4,17.0,3,4,1.3,0,0,0,6.4,101.9
296,296,34,16781,N. Agholor,64,736,93.5,10.27,996.0,62.2,15.6,12,4,7.11,16.4,1.71,2018,WR,Nelson Agholor,PHI,16,97,66.0,4,83,7.6,11.5,3,32,10.7,0,1,0,6.3,101.4
297,297,40,16263,A. Robinson II,55,754,91.2,12.5,1175.0,90.4,21.4,12,9,7.13,21.9,1.63,2018,WR,Allen Robinson II,CHI,13,94,58.5,4,43,8.0,13.7,1,9,9.0,0,1,1,7.6,98.3
298,298,50,18928,C. Samuel,39,494,56.7,12.37,804.0,61.8,20.6,9,6,6.46,14.4,2.1,2018,WR,Curtis Samuel,CAR,13,65,60.0,5,53,7.6,12.7,8,84,10.5,2,1,1,7.5,97.8
299,299,37,11197,D. Thomas,59,677,83.7,10.9,970.0,64.7,16.4,12,5,7.53,18.4,1.76,2018,WR,Demaryius Thomas,HOU,15,89,66.3,5,45,7.6,11.5,0,0,0.0,0,0,0,6.5,97.7
300,300,47,14587,J. Gordon,41,737,76.2,15.54,1103.0,91.9,26.9,8,7,6.69,16.2,1.95,2018,WR,Josh Gordon,NE,12,71,57.7,4,55,10.4,18.0,0,0,0.0,0,0,0,8.1,97.7
301,301,48,15196,K. Stills,37,553,91.0,17.02,1089.0,72.6,29.4,4,7,6.48,15.9,2.16,2018,WR,Kenny Stills,MIA,15,64,57.8,6,75,8.6,14.9,0,0,0.0,0,1,0,6.5,97.42
302,302,49,17048,T. Williams,41,653,83.4,12.48,799.0,53.3,19.5,7,8,7.3,13.4,2.15,2018,WR,Tyrell Williams,LAC,16,65,63.1,5,75,10.0,15.9,2,15,7.5,0,2,0,6.0,96.8
303,303,52,18882,C. Kupp,40,566,83.8,9.39,526.0,65.8,13.2,12,5,7.68,20.8,2.41,2018,WR,Cooper Kupp,LAR,8,56,71.4,6,70,10.1,14.2,4,25,6.2,0,0,0,11.9,95.1
304,304,51,19800,C. Sutton,42,704,79.5,14.63,1229.0,76.8,29.3,8,11,6.7,14.9,1.62,2018,WR,Courtland Sutton,DEN,16,84,50.0,4,42,8.4,16.8,1,-1,-1.0,0,0,0,5.9,94.3
305,305,39,4556,J. Nelson,63,739,90.7,9.78,861.0,57.4,13.7,7,3,7.61,17.5,1.76,2018,WR,Jordy Nelson,LV,15,88,71.6,3,66,8.4,11.7,1,-2,-2.0,0,1,0,6.2,93.7
306,306,46,13460,D. Baldwin,50,618,86.9,12.73,929.0,71.5,18.6,13,12,7.12,22.4,1.94,2018,WR,Doug Baldwin,SEA,13,73,68.5,5,42,8.5,12.4,0,0,0.0,0,0,0,7.1,91.8
307,307,56,19917,A. Callaway,43,586,73.8,14.68,1189.0,74.3,27.7,8,12,6.64,14.4,1.61,2018,WR,Antonio Callaway,CLE,16,78,55.1,5,71,7.5,13.6,2,7,3.5,0,1,1,5.6,89.3
308,308,60,19864,A. Miller,33,423,59.4,12.11,654.0,43.6,19.8,11,8,7.18,11.3,2.23,2018,WR,Anthony Miller,CHI,15,54,61.1,7,55,7.8,12.8,6,26,4.3,0,1,0,5.8,87.22
309,309,43,14141,C. Beasley,65,672,69.8,7.59,653.0,40.8,10.0,10,5,7.44,16.6,1.75,2018,WR,Cole Beasley,DAL,16,86,75.6,3,32,7.8,10.3,0,0,0.0,0,0,0,5.3,85.2
310,310,41,16129,T. Gabriel,67,688,79.9,11.54,1073.5,67.1,16.0,8,5,7.26,18.5,1.63,2018,WR,Taylor Gabriel,CHI,16,93,72.0,2,54,7.4,10.3,9,61,6.8,0,1,1,5.3,84.9
311,311,54,16232,D. Moncrief,48,668,82.1,13.2,1188.0,74.2,24.8,7,8,6.69,17.1,1.48,2018,WR,Donte Moncrief,JAX,16,89,53.9,3,80,7.5,13.9,0,0,0.0,0,1,1,5.2,82.8
312,312,62,13870,M. Jones Jr.,35,508,92.9,14.52,900.0,100.0,25.7,11,13,6.73,18.7,1.87,2018,WR,Marvin Jones Jr.,DET,9,62,56.5,5,39,8.2,14.5,0,0,0.0,0,0,0,9.0,80.8
313,313,58,19815,C. Kirk,43,590,85.9,10.41,708.0,59.0,16.5,5,3,7.17,20.4,1.82,2018,WR,Christian Kirk,ARI,12,68,63.2,3,75,8.7,13.7,3,35,11.7,0,0,0,6.7,80.5
314,314,61,18089,R. Higgins,39,572,56.5,11.28,609.0,46.8,15.6,4,4,7.31,12.0,2.19,2018,WR,Rashard Higgins,CLE,13,54,72.2,4,40,10.6,14.7,0,0,0.0,0,2,1,6.1,79.2
315,315,55,9331,M. Crabtree,54,607,68.5,11.28,1128.0,70.5,20.9,11,5,7.2,18.6,1.33,2018,WR,Michael Crabtree,BAL,16,100,54.0,3,27,6.1,11.2,0,0,0.0,0,0,0,4.9,78.7
316,316,63,16003,S. Watkins,40,519,71.7,8.09,445.0,44.5,11.1,10,2,7.27,15.7,2.09,2018,WR,Sammy Watkins,KC,10,55,72.7,3,50,9.4,13.0,5,52,10.4,0,1,0,7.5,75.1
317,317,69,17916,W. Fuller V,32,503,80.5,15.13,681.0,97.3,21.3,5,3,7.11,20.2,2.36,2018,WR,William Fuller V,HOU,7,45,71.1,4,73,11.2,15.7,0,0,0.0,0,0,0,10.6,74.3
318,318,66,19976,M. Valdes-Scantling,38,581,67.0,12.33,888.0,55.5,23.4,8,4,6.53,11.7,1.54,2018,WR,Marquez Valdes-Scantling,GB,16,72,52.8,2,60,8.1,15.3,2,29,14.5,0,0,0,4.6,73.0
319,319,64,19318,K. Bourne,42,487,59.4,9.14,603.0,37.7,14.4,12,4,6.7,12.9,1.74,2018,WR,Kendrick Bourne,SF,16,66,63.6,4,33,7.4,11.6,0,0,0.0,0,1,0,4.5,72.7
320,320,53,16141,W. Snead IV,62,651,70.0,8.52,809.0,57.8,13.0,7,1,7.34,19.3,1.41,2018,WR,Willie Snead IV,BAL,16,95,65.3,1,28,6.9,10.5,1,13,13.0,0,0,0,4.5,72.4
321,321,70,14828,C. Hogan,35,532,73.4,12.02,637.0,42.5,18.2,7,3,6.79,10.0,2.0,2018,WR,Chris Hogan,NE,16,55,63.6,3,63,9.7,15.2,0,0,0.0,0,0,0,4.4,71.2
322,322,57,9906,D. Amendola,59,575,83.7,7.8,616.0,41.1,10.4,2,1,7.41,19.2,1.61,2018,WR,Danny Amendola,MIA,15,79,74.7,1,39,7.3,9.7,1,-2,-2.0,0,2,0,4.6,68.42
323,323,67,17939,J. Doctson,44,532,91.8,14.7,1161.0,77.4,26.4,9,6,6.23,17.4,1.38,2018,WR,Josh Doctson,WAS,15,79,55.7,2,32,6.7,12.1,0,0,0.0,0,0,0,4.3,65.2
324,324,71,19867,M. Gallup,33,507,71.0,14.72,1001.0,66.7,30.3,8,6,6.76,14.2,1.41,2018,WR,Michael Gallup,DAL,16,68,48.5,2,49,7.5,15.4,0,0,0.0,0,0,0,4.0,64.7
325,325,65,18361,C. Rogers,53,485,54.6,7.06,508.0,31.8,9.6,7,5,7.64,11.4,1.57,2018,WR,Chester Rogers,IND,16,72,73.6,2,34,6.7,9.2,1,-4,-4.0,0,1,0,4.0,64.1
326,326,68,16326,S. Roberts,45,494,61.4,9.2,598.0,39.9,13.3,3,3,7.15,13.2,1.64,2018,WR,Seth Roberts,LV,15,65,69.2,2,44,7.6,11.0,3,5,1.7,0,0,0,4.1,61.9
327,327,73,16837,C. Conley,32,334,76.7,9.42,490.0,30.6,15.3,10,6,6.97,9.2,1.76,2018,WR,Chris Conley,KC,16,52,61.5,5,27,6.4,10.4,0,0,0.0,0,2,2,3.7,59.4
328,328,72,14465,J. Wright,43,447,51.4,6.5,390.0,24.4,9.1,5,3,6.79,11.0,1.59,2018,WR,Jarius Wright,CAR,16,59,72.9,1,33,7.6,10.4,2,39,19.5,0,3,1,3.4,54.6
329,329,74,19514,K. Cole,38,491,77.1,10.41,729.0,52.1,19.2,7,4,6.39,14.9,1.27,2018,WR,Keelan Cole,JAX,16,70,54.3,1,35,7.0,12.9,0,0,0.0,0,2,2,3.2,51.1
330,330,75,18971,T. Taylor,37,466,55.2,13.61,762.0,58.6,20.6,6,6,7.19,16.0,1.56,2018,WR,Taywan Taylor,TEN,13,56,66.1,1,55,8.3,12.6,0,0,0.0,0,1,1,3.9,50.6
331,331,78,16790,P. Dorsett II,32,290,48.7,11.9,500.0,45.5,15.6,8,4,7.02,11.3,1.95,2018,WR,Phillip Dorsett II,NE,16,42,76.2,3,20,6.9,9.1,4,29,7.2,0,0,0,3.1,49.9
332,332,76,16063,Q. Enunwa,38,449,79.4,7.06,487.0,44.3,12.8,9,3,6.34,20.2,1.26,2018,WR,Quincy Enunwa,NYJ,11,69,55.1,1,42,6.5,11.8,1,0,0.0,0,2,1,4.4,48.9
333,333,77,13227,R. Cobb,38,383,82.4,8.0,488.0,54.2,12.8,4,3,6.93,17.6,1.41,2018,WR,Randall Cobb,GB,9,61,62.3,2,75,6.3,10.1,0,0,0.0,0,2,1,5.4,48.3
334,334,79,14749,J. Kearse,37,371,73.8,9.55,726.0,55.8,19.6,9,5,6.61,17.8,1.05,2018,WR,Jermaine Kearse,NYJ,14,76,48.7,1,29,4.9,10.0,0,0,0.0,0,0,0,3.1,43.1
335,335,80,16411,R. Grant,35,334,59.4,7.57,386.0,27.6,11.0,6,2,7.45,8.8,1.46,2018,WR,Ryan Grant,IND,14,51,68.6,1,23,6.5,9.5,0,0,0.0,0,0,0,2.8,39.4
336,336,81,17914,L. Treadwell,35,302,56.8,5.77,306.0,20.4,8.7,4,1,7.55,9.4,1.34,2018,WR,Laquon Treadwell,MIN,15,53,66.0,1,22,5.7,8.6,0,0,0.0,0,0,0,2.4,36.2
337,337,82,19008,R. Switzer,36,253,27.6,3.43,151.0,9.4,4.2,7,1,8.24,6.5,1.58,2018,WR,Ryan Switzer,PIT,16,44,81.8,1,24,5.8,7.0,6,21,3.5,0,2,0,2.1,33.4
338,338,83,16664,B. Ellington,31,224,61.8,5.17,217.0,31.0,7.0,4,0,8.21,18.3,1.42,2018,WR,Bruce Ellington,DET,7,42,73.8,1,23,5.3,7.2,1,2,2.0,0,1,0,4.1,28.6
