,index,rank,playerplayerid,playershortname,receptions,receivingyards,snapshare,averagetargetdistance,airyards,airyardspergame,airyardsperreception,redzonetargets,endzonetargets,targetaccuracy,targetshare,fantasypointspertarget,year,position,name,team,played,receivingtargets,receptionpercentage,receivingtouchdowns,receivinglong,receivingyardspertarget,receivingyardsperreception,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,fumbles,fumbleslost,fantasypointspergame,fantasypoints
65,65,72,16781,N. Agholor,37,473,74.02,13.31,839.0,55.93,22.7,7,3,6.74,13.84,1.64,2021,WR,Nelson Agholor,NE,15,64,57.8,3,44,7.4,12.8,3,11,3.7,0,0,0,4.4,66.4
66,66,56,21697,L. Shenault Jr.,63,619,69.34,5.39,534.0,33.37,8.5,10,4,7.27,18.09,1.28,2021,WR,Laviska Shenault Jr.,JAX,16,99,63.6,0,58,6.3,9.8,11,41,3.7,0,1,1,4.0,64.0
67,67,70,16775,D. Parker,40,515,78.89,10.89,795.0,79.5,19.9,6,7,7.63,21.85,1.42,2021,WR,DeVante Parker,MIA,10,73,54.8,2,42,7.1,12.9,0,0,0.0,0,0,0,6.4,63.5
68,68,74,22613,J. Palmer,33,353,38.98,8.67,425.0,25.0,12.9,8,4,7.19,7.48,1.9,2021,WR,Joshua Palmer,LAC,17,49,67.3,4,36,7.2,10.7,1,6,6.0,0,0,0,3.5,59.9
69,69,68,18926,Z. Jones,47,546,55.01,13.08,916.0,53.88,19.5,5,7,7.42,11.86,1.51,2021,WR,Zay Jones,LV,17,70,67.1,1,43,7.8,11.6,2,3,1.5,0,1,1,3.5,58.9
70,70,63,16866,J. Crowder,51,447,68.39,6.26,451.0,37.58,8.8,12,2,8.22,16.86,1.52,2021,WR,Jamison Crowder,NYJ,12,71,71.8,2,29,6.3,8.8,0,0,0.0,0,1,1,4.9,58.7
71,71,71,22623,R. Bateman,46,515,68.99,7.97,534.0,44.5,11.6,5,2,7.42,15.83,1.54,2021,WR,Rashod Bateman,BAL,12,67,68.7,1,36,7.7,11.2,0,0,0.0,0,0,0,4.8,57.5
72,72,75,19867,M. Gallup,35,445,76.73,11.17,693.0,77.0,19.8,8,7,7.37,16.62,1.48,2021,WR,Michael Gallup,DAL,9,62,56.5,2,41,7.2,12.7,0,0,0.0,0,0,0,6.3,56.5
73,73,73,19172,Z. Pascal,38,384,80.3,8.59,593.0,37.06,15.6,13,5,7.1,14.55,1.37,2021,WR,Zach Pascal,IND,16,69,55.1,3,41,5.6,10.1,2,21,10.5,0,1,1,3.5,56.5
74,74,77,19897,T. Smith,32,377,67.98,9.68,484.0,44.0,15.1,8,7,7.7,15.01,1.75,2021,WR,Tre'Quan Smith,NO,11,50,64.0,3,34,7.5,11.8,0,0,0.0,0,1,0,5.1,55.7
75,75,66,22626,R. Moore,54,435,47.49,3.26,212.0,15.14,3.9,8,1,7.88,14.28,1.68,2021,WR,Rondale Moore,ARI,14,65,83.1,1,77,6.7,8.1,18,76,4.2,0,3,1,3.9,55.1
76,76,76,18977,K. Golladay,37,521,75.05,13.28,983.0,70.21,26.6,9,7,6.21,16.59,1.2,2021,WR,Kenny Golladay,NYG,14,76,48.7,0,36,6.9,14.1,0,0,0.0,0,0,0,3.7,52.1
77,77,80,21756,N. Collins,33,446,61.92,10.7,653.0,46.64,19.8,6,5,6.55,13.55,1.37,2021,WR,Nico Collins,HOU,14,61,54.1,1,32,7.3,13.5,0,0,0.0,0,0,0,3.6,50.6
78,78,81,21721,D. Duvernay,33,272,51.17,6.21,292.0,18.25,8.8,8,4,7.55,8.68,1.77,2021,WR,Devin Duvernay,BAL,16,47,70.2,2,21,5.8,8.2,7,50,7.1,1,1,0,3.1,50.2
79,79,82,17914,L. Treadwell,33,434,66.14,11.84,604.0,50.33,18.3,6,4,7.5,12.91,1.62,2021,WR,Laquon Treadwell,JAX,12,51,64.7,1,41,8.5,13.2,0,0,0.0,0,0,0,4.1,49.4
80,80,78,16263,A. Robinson II,38,410,81.65,10.21,674.0,56.16,17.7,6,5,6.36,19.24,1.32,2021,WR,Allen Robinson II,CHI,12,66,57.6,1,39,6.2,10.8,0,0,0.0,0,0,0,4.1,49.0
81,81,79,21692,J. Jeudy,38,467,64.45,10.46,586.0,58.6,15.4,3,0,7.05,19.92,1.52,2021,WR,Jerry Jeudy,DEN,10,56,67.9,0,40,8.3,12.3,2,3,1.5,0,1,0,4.7,47.0
82,82,85,21686,J. Reagor,33,299,66.79,8.85,505.0,29.7,15.3,5,2,7.23,12.23,1.37,2021,WR,Jalen Reagor,PHI,17,57,57.9,2,34,5.2,9.1,10,32,3.2,0,2,0,2.7,45.1
83,83,83,22614,K. Toney,39,420,47.98,6.28,358.0,35.8,9.2,5,1,7.01,16.23,1.44,2021,WR,Kadarius Toney,NYG,10,57,68.4,0,38,7.4,10.8,3,6,2.0,0,0,0,4.3,43.36
84,84,86,17961,S. Shepard,36,366,73.87,6.13,325.0,46.42,9.0,9,1,6.27,21.03,1.47,2021,WR,Sterling Shepard,NYG,7,53,67.9,1,37,6.9,10.2,1,-9,-9.0,0,0,0,6.0,41.7
85,85,84,17290,A. Humphries,41,383,58.66,6.61,410.0,24.11,10.0,5,2,6.89,11.61,1.28,2021,WR,Adam Humphries,WAS,17,62,66.1,0,27,6.2,9.3,0,0,0.0,0,0,0,2.3,38.3
86,86,87,21675,T. Johnson,36,360,51.5,7.92,436.0,25.64,12.1,9,4,7.0,7.67,1.31,2021,WR,Tyler Johnson,TB,17,55,65.5,0,31,6.5,10.0,0,0,0.0,0,0,0,2.1,36.0
87,87,88,19961,R. McCloud,39,277,47.64,5.81,384.0,24.0,9.8,10,2,5.87,10.8,1.0,2021,WR,Ray-Ray McCloud,PIT,16,66,59.1,0,24,4.2,7.1,2,15,7.5,0,4,1,1.7,27.2
88,88,1,16470,D. Adams,115,1374,85.1,8.83,1308.0,93.42,11.4,27,11,487.0,33.86,2.42,2020,WR,Davante Adams,GB,14,148,77.7,18,56,9.3,11.9,0,0,0.0,0,1,1,17.4,243.4
