Rank,PlayerID,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
80,14901,Kyle Juszczyk,SF,FB,12,3,7,2.3,0,24,20,239,1,0,0,2.6,30.6
81,20900,Qadree Ollison,ATL,RB,8,22,50,2.3,4,2,1,7,0,1,0,3.7,29.7
82,19915,Mark Walton,MIA,RB,7,53,201,3.8,0,21,15,89,0,1,1,3.9,27
83,12800,Bilal Powell,NYJ,RB,13,59,229,3.9,0,12,7,33,0,0,0,2,26.2
84,20566,Dontrell Hilliard,CLE,RB,14,13,49,3.8,2,15,12,92,0,2,0,1.9,26.1
85,19924,Ito Smith,ATL,RB,7,22,106,4.8,1,14,11,87,0,0,0,3.6,25.3
86,20768,Myles Gaskin,MIA,RB,7,36,133,3.7,1,12,7,51,0,0,0,3.5,24.4
87,16815,Ameer Abdullah,MIN,RB,16,23,115,5,0,21,15,88,1,1,1,1.5,24.3
88,20103,Reggie Bonnafon,CAR,RB,13,16,116,7.2,1,9,6,57,0,0,0,1.8,23.3
89,20964,Darwin Thompson,KC,RB,12,37,128,3.5,1,10,9,43,0,0,0,1.9,23.1
90,20064,Justin Jackson,LAC,RB,7,29,200,6.9,0,11,9,22,0,0,0,3.2,22.2
91,18652,C.J. Ham,MIN,FB,16,7,17,2.4,0,26,17,149,1,1,1,1.3,20.6
92,17965,C.J. Prosise,SEA,RB,9,23,72,3.1,1,12,10,76,0,1,1,2.1,18.8
93,15150,Cordarrelle Patterson,CHI,RB,16,17,103,6.1,0,17,11,83,0,0,0,1.2,18.6
94,20798,Darrell Henderson Jr.,LAR,RB,13,39,147,3.8,0,6,4,37,0,0,0,1.4,18.4
95,20810,Travis Homer,SEA,RB,16,18,114,6.3,0,13,11,56,0,0,0,1.1,17
96,16797,T.J. Yeldon,BUF,RB,6,17,63,3.7,0,15,13,124,0,1,1,2.8,16.7
97,18070,Wendell Smallwood,WAS,RB,15,22,81,3.7,0,13,9,64,0,0,0,1,14.5
98,20804,Wes Hills,DET,RB,1,10,21,2.1,2,2,2,1,0,0,0,14.2,14.2
99,19599,Trey Edmunds,PIT,RB,11,22,92,4.2,0,7,6,48,0,0,0,1.3,14
100,20982,Kerrith Whyte Jr.,PIT,RB,6,24,122,5.1,0,1,1,9,0,0,0,2.2,13.1
101,20819,Alec Ingold,LV,FB,16,10,17,1.7,0,6,6,44,1,0,0,0.8,12.1
102,6198,Darren Sproles,PHI,RB,6,17,66,3.9,0,10,6,24,0,1,0,1.8,11
103,19209,Patrick Ricard,BAL,FB,16,0,0,0,0,11,8,47,1,0,0,0.7,10.7
104,16886,Javorius Allen,NYG,RB,10,10,36,3.6,1,2,1,9,0,0,0,1,10.5
105,18093,Andy Janovich,DEN,FB,7,1,1,1,1,5,5,42,0,0,0,1.5,10.3
106,18115,Derek Watt,LAC,FB,16,7,10,1.4,1,5,3,32,0,0,0,0.6,10.2
107,18114,Danny Vitale,GB,FB,15,1,3,3,0,12,7,97,0,0,0,0.7,10
108,12386,Marshawn Lynch,SEA,RB,1,12,34,2.8,1,0,0,0,0,0,0,9.4,9.4
109,21593,D'Ernest Johnson,CLE,RB,16,4,21,5.2,0,7,6,71,0,0,0,0.6,9.2
110,12787,Nick Bellore,SEA,FB,14,0,0,0,0,2,2,23,1,0,0,0.6,8.3
111,19072,Alex Armah,CAR,FB,16,6,11,1.8,1,2,2,6,0,0,0,0.5,7.7
112,18764,Troymaine Pope,LAC,RB,14,10,20,2,0,3,2,14,1,1,1,0.5,7.4
113,15261,Spencer Ware,KC,RB,3,17,51,3,0,7,5,22,0,1,0,2.4,7.3
114,17970,Devontae Booker,DEN,RB,16,2,9,4.5,0,9,6,57,0,0,0,0.4,6.6
114,18152,Dwayne Washington,NO,RB,15,8,60,7.5,0,1,1,6,0,0,0,0.4,6.6
114,18488,Tra Carson,DET,RB,3,18,48,2.7,0,4,4,18,0,0,0,2.2,6.6
117,15555,Zach Line,NO,FB,12,7,20,2.9,0,10,6,36,0,0,0,0.5,5.6
118,21310,Khari Blasingame,TEN,RB,6,0,0,0,0,5,4,54,0,0,0,0.9,5.4
119,21456,Jon Hilliman,NYG,RB,3,30,91,3,0,4,3,1,0,2,2,1.7,5.2
120,20904,Devine Ozigbo,JAX,RB,10,9,27,3,0,5,3,23,0,0,0,0.5,5
121,16887,Mike Davis,CAR,RB,12,13,27,2.1,0,8,7,22,0,0,0,0.4,4.9
121,13063,Taiwan Jones,HOU,RB,11,9,40,4.4,0,1,1,9,0,0,0,0.4,4.9
123,14786,Patrick DiMarco,BUF,FB,16,3,7,2.3,0,7,5,41,0,0,0,0.3,4.8
123,18617,Elijhaa Penny,NYG,RB,16,15,39,2.6,0,4,2,9,0,0,0,0.3,4.8
125,15020,CJ Anderson,DET,RB,2,16,43,2.7,0,0,0,0,0,0,0,2.2,4.3
126,17972,Paul Perkins,DET,RB,4,12,29,2.4,0,1,1,9,0,0,0,1,3.8
127,15185,Kenjon Barner,ATL,RB,14,4,28,7,0,8,6,22,0,4,1,0.2,3.12
128,13418,Anthony Sherman,KC,FB,16,4,9,2.2,0,3,2,22,0,0,0,0.2,3.1
129,16909,Jay Ajayi,PHI,RB,3,10,30,3,0,1,0,0,0,0,0,1,3
130,20600,Dalyn Dawkins,TEN,RB,2,11,26,2.4,0,1,0,0,0,0,0,1.3,2.6
131,19032,T.J. Logan,TB,RB,12,3,10,3.3,0,3,2,13,0,0,0,0.2,2.3
132,18041,Tyler Ervin,GB,RB,8,1,10,10,0,4,2,11,0,2,0,0.3,2.1
132,16378,Keith Smith,ATL,FB,16,5,8,1.6,0,4,1,13,0,0,0,0.1,2.1
134,20018,Nick Bawden,DET,FB,10,0,0,0,0,6,4,17,0,0,0,0.2,1.7
134,17023,Zach Zenner,MIA,RB,5,3,-2,-0.7,0,3,2,19,0,0,0,0.3,1.7
136,18993,Samaje Perine,MIA,RB,7,5,16,3.2,0,0,0,0,0,0,0,0.2,1.6
137,20074,Jason Cabinda,DET,FB,4,0,0,0,0,0,0,0,0,0,0,0.4,1.5
138,20790,Damien Harris,NE,RB,3,4,12,3,0,0,0,0,0,0,0,0.4,1.2
138,20075,Josh Adams,NYJ,RB,3,8,12,1.5,0,0,0,0,0,0,0,0.4,1.2
140,20984,Dexter Williams,GB,RB,4,5,11,2.2,0,0,0,0,0,0,0,0.3,1.1
141,20318,Buddy Howell,HOU,RB,16,5,10,2,0,0,0,0,0,0,0,0.1,1
142,20935,Jordan Scarlett,CAR,RB,9,4,9,2.2,0,0,0,0,0,0,0,0.1,0.9
142,19957,John Kelly,LAR,RB,4,3,9,3,0,0,0,0,0,0,0,0.2,0.9
142,18217,Josh Ferguson,WAS,RB,2,3,9,3,0,0,0,0,0,0,0,0.4,0.9
145,20106,Ryan Nall,CHI,RB,8,2,8,4,0,0,0,0,0,0,0,0.1,0.8
145,19206,Ricky Ortiz,NO,FB,1,0,0,0,0,1,1,8,0,0,0,0.8,0.8
147,21549,Tony Brooks-James,PIT,RB,3,8,7,0.9,0,0,0,0,0,0,0,0.2,0.7
148,20562,De'Lance Turner,MIA,RB,8,4,6,1.5,0,0,0,0,0,0,0,0.1,0.6
149,21100,Jakob Johnson,NE,FB,2,0,0,0,0,2,1,5,0,0,0,0.2,0.5
150,16441,Senorise Perry,BUF,RB,11,3,3,1,0,1,1,1,0,0,0,0,0.4
150,14269,Alfred Morris,ARI,RB,1,1,4,4,0,0,0,0,0,0,0,0.4,0.4
150,16534,Roosevelt Nix,PIT,FB,3,0,0,0,0,3,2,4,0,0,0,0.1,0.4
153,14783,James Develin,NE,FB,2,2,3,1.5,0,0,0,0,0,0,0,0.2,0.3
154,21132,Chandler Cox,MIA,FB,13,0,0,0,0,0,0,0,0,0,0,0,0
154,15966,David Fluellen,TEN,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
154,20040,Trenton Cannon,NYJ,RB,4,0,0,0,0,0,0,0,0,0,0,0,0
154,14789,Jamize Olawale,DAL,FB,16,0,0,0,0,2,0,0,0,0,0,0,0
154,20990,Trayveon Williams,CIN,RB,11,0,0,0,0,0,0,0,0,0,0,0,0
154,21126,Cullen Gillaspia,HOU,FB,16,0,0,0,0,0,0,0,0,0,0,0,0
154,17360,Rod Smith,LV,RB,6,0,0,0,0,0,0,0,0,0,0,0,0
154,21514,Austin Walter,NYG,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
154,18253,D.J. Foster,ARI,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
154,16928,Michael Burton,WAS,FB,10,0,0,0,0,1,0,0,0,0,0,0,0
154,21564,Craig Reynolds,WAS,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
154,19065,Jeremy McNichols,JAX,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
154,14533,Robert Turbin,SEA,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
167,19548,Corey Clement,PHI,RB,4,0,0,0,0,0,0,0,0,2,2,-1,-4
