Rank,PlayerPlayerId,PlayerShortName,PlayerAgeExact,Carries,RushingYards,YardsPerCarry,RushingTouchdowns,Targets,Receptions,ReceivingYards,ReceivingTDs,SnapShare,OpportunityShare,ShotgunCarryRate,ShotgunYardsPerCarry,UnderCenterCarryRate,UnderCenterYardsPerCarry,AverageDefendersInTheBox,StackedFrontCarryRate,BaseFrontCarryRate,LightFrontCarryRate
76,20500,D. Williams,27.2,39,169,4.33,1,26,18,116,0,28.19,18.36,79.48,4.25,20.51,4.62,6.1,7.69,12.82,79.48
77,13337,M. Ingram II,32.5,72,299,4.15,2,8,6,50,0,23.03,29.09,98.61,4.19,1.38,1,7.19,25,59.72,15.27
78,21797,L. Perine,24.4,64,232,3.62,2,15,11,63,0,30.26,29.47,37.5,3.75,62.5,3.52,6.48,10.93,35.93,53.12
79,18690,J. Richard,28.7,22,123,5.59,1,23,19,138,0,20.23,10.71,72.72,6.5,27.27,3.16,6.27,4.54,27.27,68.18
80,19065,J. McNichols,26.5,47,204,4.34,1,17,12,55,0,23.6,12.28,27.65,6,72.34,3.7,6.82,29.78,34.04,36.17
81,15102,C. Thompson,31.7,7,20,2.85,0,23,20,146,1,28.4,15.15,71.42,3.8,28.57,0.5,6.57,28.57,0,71.42
82,19319,M. Breida,27.4,59,254,4.3,0,10,9,96,0,18.63,20.17,72.88,4.93,27.11,2.62,6.3,11.86,22.03,64.4
83,14269,A. Morris,33.6,55,238,4.32,1,4,3,19,1,19.06,25.54,40,5.09,60,3.81,7.18,30.9,47.27,21.81
84,21802,A. Dillon,24.2,46,242,5.26,2,2,2,21,0,13.47,13.87,47.82,6.13,52.17,4.45,7.06,26.08,52.17,21.73
85,19823,R. Freeman,26.4,35,170,4.85,0,13,12,81,0,16.76,10.81,62.85,5.22,37.14,4.23,6.28,5.71,28.57,65.71
86,20075,J. Adams,25.7,29,157,5.41,2,8,6,29,0,15.09,16.74,20.68,2.33,79.31,6.21,6.89,27.58,41.37,27.58
87,21775,R. Smith,26.4,41,156,3.8,1,11,9,59,0,30.97,32.91,43.9,4.55,56.09,3.21,6.63,9.75,46.34,43.9
88,16524,D. Freeman,30.3,54,172,3.18,1,10,7,58,0,46.59,55.17,38.88,3.19,61.11,3.18,6.2,1.85,25.92,72.22
89,20964,D. Thompson,25.4,27,97,3.59,1,11,7,65,1,8.42,10.41,66.66,3.38,33.33,4,6.4,11.11,29.62,59.25
90,20810,T. Homer,23.9,25,88,3.52,0,10,9,90,1,22.31,15.69,60,4.46,40,2.1,6.2,8,32,60
91,21765,J. Hasty,25.8,39,148,3.79,1,8,7,33,0,17.48,20.52,20.51,3.25,79.48,3.93,6.94,20.51,53.84,25.64
92,18067,J. Howard,27.7,35,60,1.71,4,1,1,-3,0,13.99,20.45,31.42,2.81,68.57,1.2,7.54,40,45.71,14.28
93,16815,A. Abdullah,29.1,8,42,5.25,0,9,8,58,2,6.57,3.35,62.5,4.2,37.5,7,6.62,0,62.5,37.5
94,19626,D. Ogunbowale,28.2,32,145,4.53,0,20,10,54,0,20.26,14.98,31.25,4.4,68.75,4.59,6.43,6.25,37.5,56.25
95,20819,A. Ingold,26,3,4,1.3,0,17,12,110,1,19.3,5.7,0,null,100,1.3,7.67,33.3,66.7,0
96,11932,L. McCoy,34,10,31,3.1,0,19,15,101,0,14.21,9.69,50,2.4,50,3.8,6.5,20,20,60
97,18041,T. Ervin,28.7,13,67,5.15,0,15,11,84,0,25.34,10.29,53.84,6.71,46.15,3.33,7.23,38.46,46.15,15.38
98,18652,C. Ham,29,5,18,3.6,0,14,8,97,1,41.1,4.4,20,4,80,3.5,7.8,80,20,0
99,21788,K. Vaughn,25.2,26,109,4.19,0,10,5,34,1,13.55,12.08,11.53,0.33,88.46,4.69,6.96,19.23,57.69,23.07
100,21854,A. McFarland Jr.,24.3,33,113,3.42,0,10,6,54,0,11.33,14.72,72.72,4.04,27.27,1.77,6.75,12.12,51.51,36.36
101,21211,P. Laird,26.9,13,72,5.53,0,12,10,68,0,12.86,5.7,100,5.53,0,0,5.76,0,0,100
102,20990,T. Williams,24.7,26,157,6.03,0,5,5,30,0,9.5,12.1,53.84,3.28,46.15,9.25,6.42,0,42.3,57.69
103,18088,A. Collins,27.9,18,77,4.27,2,2,1,4,0,25.9,30.76,50,4.55,50,4,6.5,5.55,38.88,55.55
104,19548,C. Clement,27.7,21,75,3.57,1,6,5,25,0,9.19,7.8,42.85,3,57.14,4,6.85,28.57,14.28,57.14
105,21593,D. Johnson,26.4,33,166,5.03,0,4,3,14,0,7.19,7.34,21.21,2.28,78.78,5.76,6.36,9.09,39.39,48.48
106,20106,R. Nall,26.5,3,0,0,0,9,8,67,1,5.88,3.35,33.33,0,66.66,0,7.66,66.66,0,33.33
107,22310,G. Nabers,24.7,2,7,3.5,0,7,5,25,2,14.5,3.3,0,null,100,3.5,7.5,50,50,0
108,18764,T. Pope,28.6,15,76,5.06,0,10,8,42,0,13.83,11.62,60,3.44,40,7.5,6.26,6.66,20,73.33
109,19003,T. Cohen,26.9,14,74,5.28,0,9,6,41,0,35.57,30.26,35.71,9.4,64.28,3,6.07,0,21.42,78.57
110,21100,J. Johnson,27.6,0,0,null,0,9,8,35,1,32.9,3.6,null,null,null,null,null,null,null,null
111,18061,D. Washington,29.4,31,91,2.93,0,10,5,30,0,31.07,41.41,74.19,2.95,25.8,2.87,6.8,12.9,48.38,38.7
112,18957,D. Foreman,26.2,22,95,4.31,0,1,1,5,1,7.44,12.04,13.63,5,86.36,4.21,6.5,13.63,50,31.81
113,20103,R. Bonnafon,26.5,12,69,5.75,0,2,2,18,1,16.26,24.13,0,0,100,5.75,7.25,50,25,25
114,19996,J. Samuels,26,9,28,3.11,0,14,9,46,0,11.61,6.51,66.66,3.16,33.33,3,6.33,11.11,11.11,77.77
115,16797,T. Yeldon,28.8,10,70,7,0,4,1,22,1,20.43,20.28,70,9,30,2.33,4.6,0,0,100
116,21845,D. Evans,24,14,54,3.85,0,4,2,27,1,9.53,10.97,7.14,3,92.85,3.92,7.57,50,35.71,14.28
117,16855,T. Montgomery,29.5,19,101,5.31,0,6,3,27,0,16.62,13.44,15.78,3.66,84.21,5.62,6.57,10.52,42.1,47.36
118,19766,S. Barkley,25.4,19,34,1.78,0,9,6,60,0,48.81,60.86,15.78,1.66,84.21,1.81,6.21,5.26,31.57,63.15
119,20159,M. Boone,27,11,59,5.36,1,2,2,10,0,2.7,2.56,9.09,7,90.9,5.2,7.27,27.27,72.72,0
120,20904,D. Ozigbo,25.8,1,1,1,0,9,9,42,0,4.57,5.1,0,0,100,1,8,100,0,0
121,20802,J. Hill,24.6,12,60,5,0,5,5,20,0,8.19,5.24,91.66,5.54,8.33,-1,6.33,0,50,50
122,16834,T. Coleman,29.2,28,53,1.89,0,5,4,34,0,12.83,13.52,25,3.85,75,1.23,7,39.28,21.42,39.28
123,17965,C. Prosise,28.1,10,19,1.9,0,5,5,18,1,6.66,6.94,70,1.71,30,2.33,6.6,20,20,60
124,21837,J. Taylor,24.5,23,110,4.78,0,2,1,4,0,12.74,15.92,4.34,3,95.65,4.86,6.21,21.73,30.43,39.13
125,15126,T. Riddick,31.2,6,14,2.33,0,6,5,43,0,15.82,10.61,66.66,2,33.33,3,6.16,16.66,16.66,66.66
126,21848,A. Pierce,26.1,6,34,5.66,1,0,0,0,0,3.92,5.26,33.33,11,66.66,3,7.16,33.33,33.33,33.33
127,16928,M. Burton,30.4,7,18,2.6,0,4,4,28,0,21.9,5.1,0,null,100,2.6,7.43,57.1,28.6,14.3
128,18998,M. Mack,26.3,4,26,6.5,0,3,3,30,0,15.94,18.91,75,9.66,25,-3,7.5,25,75,0
129,13418,A. Sherman,33.6,3,8,2.7,0,2,1,5,1,11.4,4,0,null,100,2.7,8,66.7,33.3,0
130,21782,J. Ward,24.8,0,0,0,0,1,1,11,1,0.1,0.26,null,0,null,0,null,null,null,null
131,20040,T. Cannon,28,10,33,3.3,0,3,3,16,0,4.13,3.89,40,4.25,60,2.66,6.8,10,60,30
132,21310,K. Blasingame,26,0,0,0,0,5,4,39,0,14.22,1.02,null,0,null,0,null,null,null,null
133,19072,A. Armah,28.1,6,9,1.5,0,9,5,18,0,13.9,5,0,null,100,1.5,7.83,83.3,16.7,0
134,20318,B. Howell,26.3,16,64,4,0,2,1,3,0,4.85,6.22,87.5,4.35,12.5,1.5,6.37,0,37.5,62.5
135,20566,D. Hilliard,27.4,9,48,5.33,0,1,1,2,0,5.75,5.84,22.22,4.5,77.77,5.57,6.88,22.22,44.44,33.33
136,18617,E. Penny,28.9,6,15,2.5,0,3,2,20,0,6.71,2.49,0,0,100,2.5,7.83,50,50,0
137,15215,T. Austin,32.3,0,0,null,0,5,5,20,0,11.63,null,null,null,null,null,null,null,null,null
138,18073,J. Williams,28.4,1,5,5,0,4,4,21,0,7.66,3.52,0,0,100,5,7,0,100,0
139,21514,A. Walter,25.9,1,3,3,0,1,1,27,0,4.36,1.75,100,3,0,0,6,0,0,100
140,18093,A. Janovich,29.1,2,4,2,0,5,2,13,0,16.8,3.2,0,null,100,2,7.5,50,50,0
141,19799,R. Penny,26.4,11,34,3.09,0,0,0,0,0,19.55,14.86,72.72,3.5,27.27,2,6.36,0,36.36,63.63
142,20012,B. Scarbrough,25.8,6,31,5.16,0,0,0,0,0,19.35,23.07,16.66,0,83.33,6.2,7,16.66,66.66,16.66
143,21764,J. Huntley,24.2,5,19,3.8,0,2,1,0,0,9.46,6.42,40,6.5,60,2,6.4,0,40,60
144,13791,L. Miller,31.2,0,0,0,0,2,2,6,0,12,25,null,0,null,0,null,null,null,null
145,21846,L. Bellamy,25.6,4,11,2.75,0,1,1,5,0,2.3,3.73,50,1.5,50,4,6,0,0,100
146,21856,S. Phillips,24.7,2,9,4.5,0,1,1,7,0,1.08,1.8,50,4,50,5,6.5,0,50,50
147,12787,N. Bellore,33.2,1,5,5,0,1,1,9,0,8.3,3.2,100,5,0,null,6,0,0,100
148,21952,R. Dowdle,24.5,7,24,3.42,0,0,0,0,0,1.45,1.62,28.57,4,71.42,3.2,7.28,28.57,71.42,0
149,18253,D. Foster,28.6,2,2,1,0,1,1,7,0,2.94,1.11,100,1,0,0,6.5,0,50,50
150,21564,C. Reynolds,26.1,1,4,4,0,1,1,3,0,2.58,3.92,100,4,0,0,6,0,0,100
151,18152,D. Washington,28.2,8,15,1.87,0,0,0,0,0,1.35,2.22,0,0,100,1.87,7.25,50,37.5,12.5
152,21774,T. Jones Jr.,24.6,3,13,4.33,0,0,0,0,0,6.25,13.04,0,0,100,4.33,6.33,0,66.66,33.33
153,16441,S. Perry,30.8,2,9,4.5,0,0,0,0,0,0.63,0.82,0,0,100,4.5,7,0,100,0
154,20984,D. Williams,25.5,2,8,4,0,0,0,0,0,3.2,2.02,50,5,50,3,6.5,0,50,50
155,21549,T. Brooks-James,27.6,3,4,1.33,0,0,0,0,0,8.33,8.82,33.33,2,66.66,1,7,33.33,33.33,33.33
156,20900,Q. Ollison,25.8,1,3,3,0,0,0,0,0,4.45,1.07,100,3,0,0,7,0,100,0
157,13063,T. Jones,33.9,0,0,0,0,2,0,0,0,0.35,0.64,null,0,null,0,null,null,null,null
158,15185,K. Barner,33.2,0,0,0,0,1,0,0,0,1.29,0.58,null,0,null,0,null,null,null,null
159,18070,W. Smallwood,28.5,0,0,0,0,0,0,0,0,0,0,null,0,null,0,null,null,null,null
160,19599,T. Edmunds,27.5,0,0,0,0,0,0,0,0,0,0,null,0,null,0,null,null,null,null
161,20809,E. Holyfield,24.6,0,0,0,0,0,0,0,0,0,0,null,0,null,0,null,null,null,null
162,21177,J. Cox,25.9,0,0,0,0,0,0,0,0,1.17,0,null,0,null,0,null,null,null,null
163,21787,J. Leake,23.9,0,0,0,0,0,0,0,0,0,0,null,0,null,0,null,null,null,null
164,21793,M. Warren II,23.6,0,0,0,0,0,0,0,0,0,0,null,0,null,0,null,null,null,null
165,21826,D. Bradwell,25.1,0,0,0,0,0,0,0,0,0,0,null,0,null,0,null,null,null,null
166,21839,X. Jones,24.9,0,0,0,0,0,0,0,0,0,0,null,0,null,0,null,null,null,null
167,21855,R. Calais,24.3,0,0,0,0,0,0,0,0,0,0,null,0,null,0,null,null,null,null
168,21971,S. Olonilua,24.6,0,0,null,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null
169,22441,N. Cottrell,25.9,0,0,0,0,0,0,0,0,0,0,null,0,null,0,null,null,null,null
